"HouseStyle","No_of_Bedrooms","No_of_Bath","Garage_Type","Total_Sqft","Lot_Location","YearBuilt","Year_Remodeled","FirstExterior","SecondExterior","MasonryVeneer_Type","Neighborhood","Overall_Quality","Overall_Condition","Sale_Condition","Actual Price","Predicted Sale Price","MLR Complete"
"2Story",3,2.5,"Attchd",1710,"Inside",2003,2003,"VinylSd","VinylSd","BrkFace","CollgCr",7,5,"Normal",208500,224174.9466599347,214343.61770877452
"1Story",3,2,"Attchd",1262,"FR2",1976,1976,"MetalSd","MetalSd","None","Veenker",6,8,"Normal",181500,156829.7137601674,184653.25399493426
"2Story",3,2.5,"Attchd",1786,"Inside",2001,2002,"VinylSd","VinylSd","BrkFace","CollgCr",7,5,"Normal",223500,228273.76677162544,219347.9285664193
"2Story",3,1,"Detchd",1717,"Corner",1915,1970,"Wd Sdng","Wd Shng","None","Crawfor",7,5,"Abnorml",140000,215645.17553963227,156796.30675799283
"2Story",4,2.5,"Attchd",2198,"FR2",2000,2000,"VinylSd","VinylSd","BrkFace","NoRidge",8,5,"Normal",250000,281225.997303993,272576.54667712376
"1.5Fin",1,1.5,"Attchd",1362,"Inside",1993,1995,"VinylSd","VinylSd","None","Mitchel",5,5,"Normal",143000,146306.24826146662,186938.26174713508
"1Story",3,2,"Attchd",1694,"Inside",2004,2005,"VinylSd","VinylSd","Stone","Somerst",8,5,"Normal",307000,255860.25609761113,265097.3864691118
"2Story",3,2.5,"Attchd",2090,"Corner",1973,1973,"HdBoard","HdBoard","Stone","NWAmes",7,6,"Normal",200000,231858.08714621648,247010.4306372467
"1.5Fin",2,2,"Detchd",1774,"Inside",1931,1950,"BrkFace","Wd Shng","None","OldTown",7,5,"Abnorml",129900,203550.86803716776,193121.8685243579
"1.5Unf",2,1,"Attchd",1077,"Corner",1939,1950,"MetalSd","MetalSd","None","BrkSide",5,6,"Normal",118000,108606.29236722116,121025.0645208892
"1Story",3,1,"Detchd",1040,"Inside",1965,1965,"HdBoard","HdBoard","None","Sawyer",5,5,"Normal",129500,114047.91360737469,121807.3025413265
"2Story",4,3,"BuiltIn",2324,"Inside",2005,2006,"WdShing","Wd Shng","Stone","NridgHt",9,5,"Partial",345000,318272.8495103202,309454.1970414913
"1Story",2,1,"Detchd",912,"Inside",1962,1962,"HdBoard","Plywood","None","Sawyer",5,6,"Normal",144000,104744.26826889912,124868.12288596085
"1Story",3,2,"Attchd",1494,"Inside",2006,2007,"VinylSd","VinylSd","Stone","CollgCr",7,5,"Partial",279500,215771.0098427496,222870.86781163537
"1Story",2,1.5,"Attchd",1253,"Corner",1960,1960,"MetalSd","MetalSd","BrkFace","NAmes",6,5,"Normal",157000,150736.62089205484,159678.38108604774
"1.5Unf",2,1,"Detchd",854,"Corner",1929,2001,"Wd Sdng","Wd Sdng","None","BrkSide",7,8,"Normal",132000,179168.71210701385,146347.01285141055
"1Story",2,1,"Attchd",1004,"CulDSac",1970,1970,"Wd Sdng","Wd Sdng","BrkFace","NAmes",6,7,"Normal",149000,143405.05750559806,161235.21799873305
"1Story",2,2,"CarPort",1296,"Inside",1967,1967,"MetalSd","MetalSd","None","Sawyer",4,5,"Normal",90000,96322.2351093187,123481.76161143952
"1Story",3,1.5,"Detchd",1114,"Inside",2004,2004,"VinylSd","VinylSd","None","SawyerW",5,5,"Normal",159000,135870.92926093208,151253.4168595809
"1Story",3,1,"Attchd",1339,"Inside",1958,1965,"BrkFace","Plywood","None","NAmes",5,6,"Abnorml",139000,132189.57539498925,135575.06967456103
"2Story",4,3.5,"BuiltIn",2376,"Corner",2005,2006,"VinylSd","VinylSd","BrkFace","NridgHt",8,5,"Partial",325300,289796.69722742797,284830.5111851832
"1.5Unf",3,1,"Attchd",1108,"Inside",1930,1950,"Wd Sdng","Wd Sdng","None","IDOTRR",7,7,"Normal",139400,168445.6649111346,154608.83428405807
"1Story",3,2,"Attchd",1795,"Inside",2002,2002,"VinylSd","VinylSd","BrkFace","CollgCr",8,5,"Normal",230000,260451.0607570076,255409.92395999003
"1Story",3,1,"Attchd",1060,"Inside",1976,1976,"CemntBd","CmentBd","None","MeadowV",5,7,"Normal",129900,120898.22512191391,142211.49141067825
"1Story",3,1,"Attchd",1060,"Inside",1968,2001,"Plywood","Plywood","None","Sawyer",5,8,"Normal",154000,133709.18519408585,148765.5371230452
"1Story",3,2,"Attchd",1600,"Corner",2007,2007,"VinylSd","VinylSd","Stone","NridgHt",8,5,"Normal",256300,251181.73421430204,259525.74204283138
"1Story",3,1,"Detchd",900,"Corner",1951,2000,"Wd Sdng","Wd Sdng","None","NAmes",5,7,"Normal",134800,123488.8341289303,111497.17954416364
"1Story",3,2,"Attchd",1704,"Inside",2007,2008,"VinylSd","VinylSd","Stone","NridgHt",8,5,"Normal",306000,258004.31584766356,265131.14345381316
"1Story",2,1,"Attchd",1600,"CulDSac",1957,1997,"MetalSd","MetalSd","None","NAmes",5,6,"Normal",207500,164423.63681769508,182450.44077272713
"1Story",1,1,"Detchd",520,"Inside",1927,1950,"MetalSd","MetalSd","None","BrkSide",4,6,"Normal",68500,45831.38917889891,44108.18891996448
"2Story",3,1,"Detchd",1317,"Inside",1920,1950,"BrkFace","BrkFace","None","IDOTRR",4,4,"Normal",40000,94188.92912782471,72841.02336223098
"1Story",3,1.5,"Attchd",1228,"CulDSac",1966,2006,"HdBoard","HdBoard","None","Sawyer",5,6,"Normal",149350,143812.69383857225,147859.93699019612
"1Story",3,2,"Attchd",1234,"Corner",2007,2007,"VinylSd","VinylSd","None","CollgCr",8,5,"Normal",179900,228974.88399936247,218304.93719733506
"1Story",4,1.5,"Attchd",1700,"Inside",1959,1959,"BrkFace","BrkFace","None","NAmes",5,5,"Normal",165500,148366.4312565816,159076.71583693684
"1Story",2,2,"Attchd",1561,"Inside",2005,2005,"MetalSd","MetalSd","BrkFace","NridgHt",9,5,"Normal",277500,276769.7859298998,275372.11260403786
"2Story",4,3.5,"BuiltIn",2452,"Inside",2004,2005,"VinylSd","VinylSd","Stone","NridgHt",8,5,"Normal",309000,293895.5173391187,290441.6794656953
"1Story",3,1.5,"Attchd",1097,"Corner",1994,1995,"VinylSd","VinylSd","None","CollgCr",5,5,"Normal",145000,130227.51791458414,140361.85831114277
"1Story",3,1,"Attchd",1297,"Inside",1954,1990,"Wd Sdng","Wd Sdng","BrkFace","NAmes",5,6,"Normal",153000,142452.20839331567,137935.8376667404
"1Story",3,1,"Detchd",1057,"Inside",1953,2007,"VinylSd","VinylSd","None","NAmes",5,7,"Abnorml",109000,136601.79224898957,108845.73275706847
"1Story",2,2,"0",1152,"Inside",1955,1955,"AsbShng","Plywood","None","Edwards",4,5,"AdjLand",82000,81435.85287863438,93296.85559609416
"1Story",3,2,"Attchd",1324,"Inside",1965,1965,"Wd Sdng","Wd Sdng","BrkFace","NAmes",6,5,"Abnorml",160000,154954.70748504085,135662.57079436746
"1Story",2,1.5,"Attchd",1328,"Inside",1959,1959,"VinylSd","VinylSd","None","Timber",5,6,"Normal",170000,125795.53431680694,156595.9304762627
"SFoyer",2,1,"Attchd",884,"CulDSac",1983,1983,"HdBoard","HdBoard","None","SawyerW",5,7,"Normal",144000,113806.59001362654,138647.78460713662
"1Story",3,1,"Detchd",938,"CulDSac",1975,1980,"VinylSd","VinylSd","None","CollgCr",5,6,"Normal",130250,115545.69532848157,119340.53500404907
"1Story",3,1,"Attchd",1150,"Inside",1959,1959,"BrkFace","Wd Sdng","None","NAmes",5,6,"Normal",141000,117647.47314536312,135599.135966182
"1Story",2,2,"Attchd",1752,"Inside",2005,2005,"MetalSd","MetalSd","BrkFace","NridgHt",9,5,"Normal",319900,288358.60667048296,291568.5622386839
"1.5Fin",1,1.5,"Attchd",2149,"CulDSac",2003,2003,"VinylSd","VinylSd","None","Mitchel",7,5,"Abnorml",239686,256115.01535769453,290047.6975014631
"1Story",3,2,"Attchd",1656,"Inside",2006,2006,"VinylSd","VinylSd","None","Somerst",8,5,"Normal",249700,254067.0652432092,259874.401949259
"2Story",2,2,"0",1452,"Inside",1920,2008,"MetalSd","MetalSd","None","OldTown",4,5,"Partial",113000,126797.42447339262,105473.9111824953
"1Story",3,1,"Attchd",955,"Inside",1966,1966,"HdBoard","HdBoard","None","Sawyer",5,7,"Normal",127000,109403.02340843133,131050.34119915776
"2Story",3,2,"Attchd",1470,"Corner",1997,1997,"VinylSd","VinylSd","None","Gilbert",6,6,"Normal",177000,180211.20668174108,188604.8950171105
"1.5Fin",3,1,"Detchd",1176,"Inside",1934,1950,"Wd Sdng","Wd Sdng","None","BrkSide",6,6,"Normal",114500,143592.29555979936,131879.4201191326
"1Story",2,1,"CarPort",816,"Corner",1963,1963,"Wd Sdng","Wd Sdng","None","IDOTRR",5,5,"Normal",110000,99431.9590744248,107089.43919146876
"1Story",0,0.5,"Attchd",1842,"Inside",1981,1987,"WdShing","Wd Shng","None","Veenker",9,5,"Normal",385000,292551.39128703554,323094.98076318926
"SLvl",3,1,"Detchd",1360,"Inside",1955,1955,"MetalSd","MetalSd","None","NAmes",5,5,"Normal",130000,128339.35490304325,122203.30245168484
"1Story",3,2,"Attchd",1425,"Inside",1964,1964,"HdBoard","Plywood","BrkFace","NAmes",6,5,"Normal",180500,160570.38895021108,160859.38189221686
"2Story",3,2.5,"Attchd",1739,"Inside",1999,2000,"MetalSd","MetalSd","BrkFace","Somerst",8,5,"Abnorml",172500,253376.42285410973,230401.34836595808
"2Story",3,2.5,"Attchd",1720,"Corner",2004,2004,"VinylSd","VinylSd","None","CollgCr",7,5,"Normal",196500,225294.1296042134,222656.94231106061
"2Story",3,3.5,"BuiltIn",2945,"CulDSac",2006,2006,"VinylSd","VinylSd","BrkFace","StoneBr",10,5,"Partial",438780,382278.9260982198,387244.99287854764
"1Story",2,1,"Detchd",780,"Inside",1972,1972,"HdBoard","HdBoard","None","CollgCr",5,7,"Normal",124900,101859.62435139625,117529.67292071623
"1Story",3,1.5,"Detchd",1158,"Inside",2004,2004,"VinylSd","VinylSd","None","SawyerW",6,5,"Partial",158000,167519.83747585543,179325.4868938413
"2.5Unf",3,1,"Detchd",1111,"Inside",1920,1996,"MetalSd","MetalSd","None","IDOTRR",5,7,"Normal",101000,134241.3903407496,98001.37523968564
"1Story",2,2,"Attchd",1370,"Inside",2006,2006,"VinylSd","VinylSd","Stone","NridgHt",8,5,"Normal",202500,236714.17135940396,245312.70992664713
"2Story",3,2,"Detchd",1710,"Inside",1921,1950,"Stucco","Stucco","None","OldTown",7,6,"Normal",140000,199667.7029722603,172929.29741640668
