,Data Type,Missing Values,Unique Values
Id,int64,0,1460
MSSubClass,int64,0,15
MSZoning,object,0,5
LotFrontage,float64,259,110
LotArea,int64,0,1073
Street,object,0,2
Alley,object,1369,2
LotShape,object,0,4
LandContour,object,0,4
Utilities,object,0,2
LotConfig,object,0,5
LandSlope,object,0,3
Neighborhood,object,0,25
Condition1,object,0,9
Condition2,object,0,8
BldgType,object,0,5
HouseStyle,object,0,8
OverallQual,int64,0,10
OverallCond,int64,0,9
YearBuilt,int64,0,112
YearRemodAdd,int64,0,61
RoofStyle,object,0,6
RoofMatl,object,0,8
Exterior1st,object,0,15
Exterior2nd,object,0,16
MasVnrType,object,8,4
MasVnrArea,float64,8,327
ExterQual,object,0,4
ExterCond,object,0,5
Foundation,object,0,6
BsmtQual,object,37,4
BsmtCond,object,37,4
BsmtExposure,object,38,4
BsmtFinType1,object,37,6
BsmtFinSF1,int64,0,637
BsmtFinType2,object,38,6
BsmtFinSF2,int64,0,144
BsmtUnfSF,int64,0,780
TotalBsmtSF,int64,0,721
Heating,object,0,6
HeatingQC,object,0,5
CentralAir,object,0,2
Electrical,object,1,5
1stFlrSF,int64,0,753
2ndFlrSF,int64,0,417
LowQualFinSF,int64,0,24
GrLivArea,int64,0,861
BsmtFullBath,int64,0,4
BsmtHalfBath,int64,0,3
FullBath,int64,0,4
HalfBath,int64,0,3
BedroomAbvGr,int64,0,8
KitchenAbvGr,int64,0,4
KitchenQual,object,0,4
TotRmsAbvGrd,int64,0,12
Functional,object,0,7
Fireplaces,int64,0,4
FireplaceQu,object,690,5
GarageType,object,81,6
GarageYrBlt,float64,81,97
GarageFinish,object,81,3
GarageCars,int64,0,5
GarageArea,int64,0,441
GarageQual,object,81,5
GarageCond,object,81,5
PavedDrive,object,0,3
WoodDeckSF,int64,0,274
OpenPorchSF,int64,0,202
EnclosedPorch,int64,0,120
3SsnPorch,int64,0,20
ScreenPorch,int64,0,76
PoolArea,int64,0,8
PoolQC,object,1453,3
Fence,object,1179,4
MiscFeature,object,1406,4
MiscVal,int64,0,21
MoSold,int64,0,12
YrSold,int64,0,5
SaleType,object,0,9
SaleCondition,object,0,6
SalePrice,int64,0,
