"HouseStyle","No_of_Bedrooms","Full_Bath","Half_Bath","Total_Sqft","Garage_Type","FirstExterior","SecondExterior","Overall_Condition","Overall_Quality"
"2Story",3,2,1,3420,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,2524,"Attchd","MetalSd","MetalSd",8,6
"2Story",3,2,1,3572,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,1,0,3434,"Detchd","Wd Sdng","Wd Shng",5,7
"2Story",4,2,1,4396,"Attchd","VinylSd","VinylSd",5,8
"1.5Fin",1,1,1,2724,"Attchd","VinylSd","VinylSd",5,5
"1Story",3,2,0,3388,"Attchd","VinylSd","VinylSd",5,8
"2Story",3,2,1,4180,"Attchd","HdBoard","HdBoard",6,7
"1.5Fin",2,2,0,3548,"Detchd","BrkFace","Wd Shng",5,7
"1.5Unf",2,1,0,2154,"Attchd","MetalSd","MetalSd",6,5
"1Story",3,1,0,2080,"Detchd","HdBoard","HdBoard",5,5
"2Story",4,3,0,4648,"BuiltIn","WdShing","Wd Shng",5,9
"1Story",2,1,0,1824,"Detchd","HdBoard","Plywood",6,5
"1Story",3,2,0,2988,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,1,1,2506,"Attchd","MetalSd","MetalSd",5,6
"1.5Unf",2,1,0,1708,"Detchd","Wd Sdng","Wd Sdng",8,7
"1Story",2,1,0,2008,"Attchd","Wd Sdng","Wd Sdng",7,6
"1Story",2,2,0,2592,"CarPort","MetalSd","MetalSd",5,4
"1Story",3,1,1,2228,"Detchd","VinylSd","VinylSd",5,5
"1Story",3,1,0,2678,"Attchd","BrkFace","Plywood",6,5
"2Story",4,3,1,4752,"BuiltIn","VinylSd","VinylSd",5,8
"1.5Unf",3,1,0,2216,"Attchd","Wd Sdng","Wd Sdng",7,7
"1Story",3,2,0,3590,"Attchd","VinylSd","VinylSd",5,8
"1Story",3,1,0,2120,"Attchd","CemntBd","CmentBd",7,5
"1Story",3,1,0,2120,"Attchd","Plywood","Plywood",8,5
"1Story",3,2,0,3200,"Attchd","VinylSd","VinylSd",5,8
"1Story",3,1,0,1800,"Detchd","Wd Sdng","Wd Sdng",7,5
"1Story",3,2,0,3408,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,1,0,3200,"Attchd","MetalSd","MetalSd",6,5
"1Story",1,1,0,1040,"Detchd","MetalSd","MetalSd",6,4
"2Story",3,1,0,2634,"Detchd","BrkFace","BrkFace",4,4
