,Data Type,Missing Values,Unique Values,% Complete
Id,int64,0,1460,100.0
MSSubClass,int64,0,15,1.0273972602739727
MSZoning,object,0,5,0.3424657534246575
LotFrontage,float64,259,110,7.534246575342466
LotArea,int64,0,1073,73.4931506849315
Street,object,0,2,0.136986301369863
Alley,object,1369,2,0.136986301369863
LotShape,object,0,4,0.273972602739726
LandContour,object,0,4,0.273972602739726
Utilities,object,0,2,0.136986301369863
LotConfig,object,0,5,0.3424657534246575
LandSlope,object,0,3,0.2054794520547945
Neighborhood,object,0,25,1.7123287671232876
Condition1,object,0,9,0.6164383561643836
Condition2,object,0,8,0.547945205479452
BldgType,object,0,5,0.3424657534246575
HouseStyle,object,0,8,0.547945205479452
OverallQual,int64,0,10,0.684931506849315
OverallCond,int64,0,9,0.6164383561643836
YearBuilt,int64,0,112,7.671232876712328
YearRemodAdd,int64,0,61,4.178082191780822
RoofStyle,object,0,6,0.410958904109589
RoofMatl,object,0,8,0.547945205479452
Exterior1st,object,0,15,1.0273972602739727
Exterior2nd,object,0,16,1.095890410958904
MasVnrType,object,8,4,0.273972602739726
MasVnrArea,float64,8,327,22.397260273972602
ExterQual,object,0,4,0.273972602739726
ExterCond,object,0,5,0.3424657534246575
Foundation,object,0,6,0.410958904109589
BsmtQual,object,37,4,0.273972602739726
BsmtCond,object,37,4,0.273972602739726
BsmtExposure,object,38,4,0.273972602739726
BsmtFinType1,object,37,6,0.410958904109589
BsmtFinSF1,int64,0,637,43.63013698630137
BsmtFinType2,object,38,6,0.410958904109589
BsmtFinSF2,int64,0,144,9.863013698630137
BsmtUnfSF,int64,0,780,53.42465753424658
TotalBsmtSF,int64,0,721,49.38356164383562
Heating,object,0,6,0.410958904109589
HeatingQC,object,0,5,0.3424657534246575
CentralAir,object,0,2,0.136986301369863
Electrical,object,1,5,0.3424657534246575
1stFlrSF,int64,0,753,51.57534246575342
2ndFlrSF,int64,0,417,28.561643835616437
LowQualFinSF,int64,0,24,1.643835616438356
GrLivArea,int64,0,861,58.97260273972603
BsmtFullBath,int64,0,4,0.273972602739726
BsmtHalfBath,int64,0,3,0.2054794520547945
FullBath,int64,0,4,0.273972602739726
HalfBath,int64,0,3,0.2054794520547945
BedroomAbvGr,int64,0,8,0.547945205479452
KitchenAbvGr,int64,0,4,0.273972602739726
KitchenQual,object,0,4,0.273972602739726
TotRmsAbvGrd,int64,0,12,0.821917808219178
Functional,object,0,7,0.4794520547945205
Fireplaces,int64,0,4,0.273972602739726
FireplaceQu,object,690,5,0.3424657534246575
GarageType,object,81,6,0.410958904109589
GarageYrBlt,float64,81,97,6.6438356164383565
GarageFinish,object,81,3,0.2054794520547945
GarageCars,int64,0,5,0.3424657534246575
GarageArea,int64,0,441,30.205479452054796
GarageQual,object,81,5,0.3424657534246575
GarageCond,object,81,5,0.3424657534246575
PavedDrive,object,0,3,0.2054794520547945
WoodDeckSF,int64,0,274,18.767123287671232
OpenPorchSF,int64,0,202,13.835616438356164
EnclosedPorch,int64,0,120,8.219178082191782
3SsnPorch,int64,0,20,1.36986301369863
ScreenPorch,int64,0,76,5.205479452054795
PoolArea,int64,0,8,0.547945205479452
PoolQC,object,1453,3,0.2054794520547945
Fence,object,1179,4,0.273972602739726
MiscFeature,object,1406,4,0.273972602739726
MiscVal,int64,0,21,1.4383561643835616
MoSold,int64,0,12,0.821917808219178
YrSold,int64,0,5,0.3424657534246575
SaleType,object,0,9,0.6164383561643836
SaleCondition,object,0,6,0.410958904109589
SalePrice,int64,0,,45.41095890410959
